Ensembl Gene ID	Ensembl Transcript ID	Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSG00000232217	ENST00000446770	FTLP8	13	98639204	98639470
ENSG00000251299	ENST00000505530	SLC25A15P3	13	25517713	25518636
ENSG00000271437	ENST00000604953	RP11-295B17.6	13	99205497	99206034
ENSG00000232858	ENST00000428810	RPL34P27	13	25562715	25563063
ENSG00000256305	ENST00000545020	AL359757.1	13	25715794	25716046
ENSG00000217686	ENST00000401550	NUS1P4	13	99262546	99263130
ENSG00000233549	ENST00000451978	CYCSP35	13	99281940	99282243
ENSG00000233662	ENST00000430810	CALM2P4	13	99293068	99293493
ENSG00000235315	ENST00000431134	RPL23AP69	13	25780187	25780644
ENSG00000231981	ENST00000417594	RPL7L1P12	13	99601973	99602701
ENSG00000234152	ENST00000447693	TCEB2P1	13	25939937	25940293
ENSG00000180803	ENST00000447435	RP11-467D10.2	13	26437388	26437805
ENSG00000180803	ENST00000320572	RP11-467D10.2	13	26437388	26437805
ENSG00000230871	ENST00000413224	RPS6P23	13	99825847	99826744
ENSG00000234005	ENST00000491037	GAPDHP22	13	99842833	99843245
ENSG00000233963	ENST00000426792	ATP8A2P3	13	26688547	26728313
ENSG00000218502	ENST00000394213	H2AFZP3	13	99867626	99868012
ENSG00000234706	ENST00000425846	PRUNEP1	13	26691686	26693102
ENSG00000228808	ENST00000428776	HMGB3P4	13	100024427	100024940
ENSG00000271559	ENST00000603212	RP11-380N8.6	13	26803469	26803781
ENSG00000238241	ENST00000446203	CCR12P	13	100060035	100061316
ENSG00000227882	ENST00000431978	PRKRIRP6	13	26808350	26811266
ENSG00000234031	ENST00000425466	RPS3AP44	13	27151023	27151812
ENSG00000234239	ENST00000436148	CFL1P8	13	100234960	100235434
ENSG00000230256	ENST00000395943	FGFR1OP2P1	13	27479499	27479998
ENSG00000223782	ENST00000413365	RPS21P8	13	27551680	27551926
ENSG00000218198	ENST00000456044	RPS20P32	13	27591688	27592046
ENSG00000218198	ENST00000402278	RPS20P32	13	27591688	27592046
ENSG00000225999	ENST00000455914	NDUFA12P1	13	100680023	100680428
ENSG00000236554	ENST00000451989	ASNSP3	13	100714550	100715855
ENSG00000203602	ENST00000366409	AL137059.1	13	28008286	28008752
ENSG00000228501	ENST00000432924	RPL15P18	13	100802735	100803346
ENSG00000226703	ENST00000414095	NPM1P4	13	28270530	28271341
ENSG00000270632	ENST00000603008	RP11-340C20.3	13	100850441	100850723
ENSG00000271026	ENST00000605192	KATNBL1P1	13	28641724	28642471
ENSG00000235115	ENST00000429873	CHCHD2P8	13	28681568	28682014
ENSG00000235115	ENST00000420602	CHCHD2P8	13	28681568	28682014
ENSG00000234354	ENST00000427219	RPS26P47	13	101192089	101192528
ENSG00000234354	ENST00000538139	RPS26P47	13	101192089	101192528
ENSG00000237082	ENST00000454311	COX5BP6	13	101276129	101276683
ENSG00000232587	ENST00000417549	EEF1A1P3	13	28788650	28790034
ENSG00000235472	ENST00000421800	EIF4A1P7	13	29172970	29174189
ENSG00000214051	ENST00000397387	ARF4P3	13	101408805	101409313
ENSG00000233588	ENST00000419457	CYP51A1P2	13	29296523	29298158
ENSG00000236339	ENST00000422362	POM121L13P	13	29352695	29353074
ENSG00000215399	ENST00000400214	HMGB3P7	13	102454228	102454838
ENSG00000223460	ENST00000425504	GAPDHP69	13	29880915	29881922
ENSG00000229975	ENST00000415870	LIPT1P1	13	102654475	102655660
ENSG00000270680	ENST00000605701	RP11-351N4.4	13	29913703	29914006
ENSG00000236860	ENST00000447779	RPL39P29	13	102915396	102915552
ENSG00000236258	ENST00000452384	TIMM8BP1	13	30440096	30440306
ENSG00000250878	ENST00000605100	METTL21EP	13	103532449	103548383
ENSG00000250878	ENST00000298105	METTL21EP	13	103532449	103548383
ENSG00000215049	ENST00000450181	PRDX2P1	13	30870284	30870872
ENSG00000230474	ENST00000415853	ATP6V1G1P7	13	104096970	104097318
ENSG00000225823	ENST00000455851	RPL7P45	13	105466678	105467420
ENSG00000236444	ENST00000436446	UBE2L5P	13	31002084	31002656
ENSG00000236444	ENST00000538122	UBE2L5P	13	31002084	31002656
ENSG00000213411	ENST00000393978	RBM22P2	13	31113734	31117598
ENSG00000232489	ENST00000442257	MFAP1P1	13	31115780	31117034
ENSG00000174418	ENST00000446059	RPL35P9	13	107078121	107078470
ENSG00000224117	ENST00000433704	PTPN2P2	13	31127807	31128830
ENSG00000227590	ENST00000429024	ATP5G1P5	13	107315785	107316195
ENSG00000227590	ENST00000452440	ATP5G1P5	13	107315785	107316195
ENSG00000174408	ENST00000328558	PPIAP24	13	107516164	107516634
ENSG00000196777	ENST00000356139	AL162574.1	13	107594562	107594907
ENSG00000232087	ENST00000392864	HCFC2P1	13	109132574	109134165
ENSG00000231894	ENST00000425638	WDR95P	13	31651391	31689836
ENSG00000198618	ENST00000358455	PPIAP22	21	20230097	20230594
ENSG00000198618	ENST00000394336	PPIAP22	21	20230097	20230594
ENSG00000229427	ENST00000455755	ANKRD26P4	13	31885426	31887058
ENSG00000255813	ENST00000430722	AL162497.1	13	110407168	110407615
ENSG00000229715	ENST00000428783	EEF1DP3	13	32420978	32527609
ENSG00000229715	ENST00000490410	EEF1DP3	13	32420978	32527609
ENSG00000229715	ENST00000566025	EEF1DP3	13	32420978	32527609
ENSG00000226818	ENST00000413933	SLC6A6P1	21	20616860	20618709
ENSG00000255831	ENST00000545740	AL139385.1	13	111291555	111292340
ENSG00000215515	ENST00000400497	IFIT1P1	13	32958797	32960245
ENSG00000225239	ENST00000411449	RPL21P107	13	111415021	111415480
ENSG00000230198	ENST00000448908	RPL37P4	21	20966155	20966422
ENSG00000271486	ENST00000603349	AP000403.3	21	20993009	20993859
ENSG00000229336	ENST00000282964	AP000568.2	21	21112023	21112464
ENSG00000229800	ENST00000437678	ATP8A2P2	13	33051411	33052978
ENSG00000227105	ENST00000413631	PARP1P1	13	111589106	111592131
ENSG00000215353	ENST00000400117	C1QBPP	21	21131673	21132442
ENSG00000233676	ENST00000425091	FDPSP6	21	21760646	21761157
ENSG00000234439	ENST00000447938	KRT18P2	21	21797261	21798518
ENSG00000227604	ENST00000498134	TOMM22P3	13	33528195	33528539
ENSG00000233206	ENST00000413190	RPS3AP1	21	21802755	21803074
ENSG00000215351	ENST00000448832	PPIAP1	21	22200445	22200940
ENSG00000198434	ENST00000358086	AF241725.1	21	23006773	23007049
ENSG00000234603	ENST00000443849	AL356740.1	13	113539551	113539994
ENSG00000230371	ENST00000415696	KARSP2	13	113784730	113786368
ENSG00000232662	ENST00000455730	LDHBP1	13	113930931	113932049
ENSG00000227208	ENST00000413535	LINC00552	13	114451484	114454062
ENSG00000234340	ENST00000433524	AP000705.8	21	23507018	23508403
ENSG00000227254	ENST00000451853	VDAC1P12	13	34656566	34657447
ENSG00000231136	ENST00000454567	AP000705.6	21	23526270	23526619
ENSG00000231910	ENST00000430917	GAMTP2	13	35148341	35148803
ENSG00000223488	ENST00000379571	MAPK6PS2	21	23808610	23810669
ENSG00000232795	ENST00000439854	SCAND3P1	13	35759431	35760816
ENSG00000226158	ENST00000392050	CLCP2	13	115072121	115072541
ENSG00000234835	ENST00000453244	PHBP13	13	35825207	35825966
ENSG00000223383	ENST00000448609	HIST1H2APS6	13	37064215	37064578
ENSG00000235306	ENST00000432112	GAPDHP34	13	37314178	37315000
ENSG00000223543	ENST00000453620	TCEAL4P1	13	37316015	37316602
ENSG00000215486	ENST00000580773	ARL2BPP3	13	37363469	37369187
ENSG00000215486	ENST00000421226	ARL2BPP3	13	37363469	37369187
ENSG00000215486	ENST00000400435	ARL2BPP3	13	37363469	37369187
ENSG00000271337	ENST00000605569	NDE1P2	13	37378335	37379439
ENSG00000228825	ENST00000428620	LAMTOR3P1	13	37496676	37497045
ENSG00000232378	ENST00000421928	RPL29P28	13	37500575	37501356
ENSG00000226161	ENST00000428062	EIF4A1P5	13	37512537	37513631
ENSG00000230283	ENST00000412619	RPS12P24	13	37794997	37795383
ENSG00000225906	ENST00000438328	AP000949.1	21	24254903	24256321
ENSG00000228036	ENST00000420325	HSPD1P9	13	38567222	38568857
ENSG00000219368	ENST00000406845	ZNF299P	21	24462350	24464153
ENSG00000231058	ENST00000445341	MSANTD2P1	21	24473545	24475396
ENSG00000234701	ENST00000447765	PRDX3P3	13	39191556	39192077
ENSG00000225221	ENST00000424744	PLA2G12AP2	13	39476524	39476787
ENSG00000235550	ENST00000445530	ANKRD26P2	13	39496864	39510336
ENSG00000223822	ENST00000447052	EEF1A1P1	21	24762579	24763317
ENSG00000214823	ENST00000458481	NXT1P1	13	39743773	39744088
ENSG00000237569	ENST00000425085	TUBAP	21	24779978	24781448
ENSG00000224351	ENST00000418361	CDKN2AIPNLP3	13	40391878	40392186
ENSG00000270444	ENST00000603479	AZU1P1	13	40430847	40431231
ENSG00000271429	ENST00000605218	RPL17P51	13	40798762	40798999
ENSG00000229456	ENST00000339626	RLIMP1	13	41192875	41195485
ENSG00000168852	ENST00000458118	TPTE2P5	13	41396432	41495890
ENSG00000168852	ENST00000432905	TPTE2P5	13	41396432	41495890
ENSG00000168852	ENST00000379515	TPTE2P5	13	41396432	41495890
ENSG00000168852	ENST00000456963	TPTE2P5	13	41396432	41495890
ENSG00000176268	ENST00000458172	CYCSP34	13	41437735	41438038
ENSG00000239827	ENST00000604259	SUGT1P3	13	41482295	41495910
ENSG00000239827	ENST00000304932	SUGT1P3	13	41482295	41495910
ENSG00000229473	ENST00000423358	RGS17P1	13	41566915	41567467
ENSG00000215482	ENST00000400429	CALM2P3	13	41744836	41745284
ENSG00000225133	ENST00000450245	MORF4L1P4	13	41773968	41774943
ENSG00000231404	ENST00000416129	RAC1P3	13	41861877	41862456
ENSG00000214222	ENST00000454403	TUBBP2	13	41958909	41959319
ENSG00000266181	ENST00000578499	RP11-178F10.4	18	22102237	22102883
ENSG00000205240	ENST00000419933	OR7E36P	13	42005425	42006446
ENSG00000234655	ENST00000412208	OR7E155P	13	42013952	42015035
ENSG00000234655	ENST00000422155	OR7E155P	13	42013952	42015035
ENSG00000266520	ENST00000578535	RAC1P1	18	22265736	22266315
ENSG00000215480	ENST00000421076	OR7E37P	13	42016906	42017786
ENSG00000266809	ENST00000579571	RP11-449D8.3	18	22269878	22270125
ENSG00000229696	ENST00000451871	KARSP1	13	42499734	42501485
ENSG00000229248	ENST00000427605	WBP2P1	18	22596398	22597168
ENSG00000226093	ENST00000435020	RPS28P8	13	42577566	42577773
ENSG00000237263	ENST00000403865	MAPK6PS3	13	42643068	42645229
ENSG00000270809	ENST00000604283	CHCHD2P11	13	42755601	42756057
ENSG00000264193	ENST00000583887	RP11-737G21.1	18	23533180	23533432
ENSG00000234213	ENST00000442741	FHP1	13	42830009	42830711
ENSG00000243925	ENST00000468051	RPS24P18	18	23678803	23679190
ENSG00000233259	ENST00000453169	FABP3P2	13	42943374	42943793
ENSG00000233259	ENST00000458199	FABP3P2	13	42943374	42943793
ENSG00000188985	ENST00000579682	DHFRP1	18	23749724	23751313
ENSG00000188985	ENST00000307796	DHFRP1	18	23749724	23751313
ENSG00000266227	ENST00000578162	NPM1P2	18	23784833	23785868
ENSG00000238025	ENST00000396712	ZDHHC4P1	13	43507994	43509028
ENSG00000263829	ENST00000578364	FAM60BP	18	23835662	23836319
ENSG00000232540	ENST00000430744	RPL36P19	13	43968661	43968961
ENSG00000264911	ENST00000582910	RP11-107K17.2	18	23928311	23928968
ENSG00000263846	ENST00000584883	CIAPIN1P	18	24179372	24180302
ENSG00000179611	ENST00000378718	DGKZP1	13	44542560	44545335
ENSG00000179611	ENST00000325496	DGKZP1	13	44542560	44545335
ENSG00000266184	ENST00000583051	RP11-552O4.2	18	24411484	24412396
ENSG00000266549	ENST00000580510	RP11-526I8.2	18	24532165	24532522
ENSG00000225727	ENST00000426579	RP11-71C5.2	13	45011343	45026963
ENSG00000225727	ENST00000422303	RP11-71C5.2	13	45011343	45026963
ENSG00000230793	ENST00000412207	SMARCE1P5	13	45168994	45170218
ENSG00000270381	ENST00000605137	RP11-290D2.5	13	45837825	45838050
ENSG00000237444	ENST00000423389	AP001342.1	21	26403318	26403842
ENSG00000214455	ENST00000398357	RCN1P2	13	45964486	45965402
ENSG00000214455	ENST00000545120	RCN1P2	13	45964486	45965402
ENSG00000229303	ENST00000420177	PPIAP25	13	46010256	46010795
ENSG00000232786	ENST00000428659	TIMM9P3	13	46126998	46127271
ENSG00000228869	ENST00000447446	COX4I1P2	13	46245980	46246526
ENSG00000237876	ENST00000426552	AKR1B1P4	13	46261683	46262604
ENSG00000251106	ENST00000510179	FAM206BP	13	46844212	46844752
ENSG00000241353	ENST00000424051	PPP1R2P4	13	46917102	47012325
ENSG00000241353	ENST00000535073	PPP1R2P4	13	46917102	47012325
ENSG00000227019	ENST00000400428	OR7E101P	13	47034744	47035256
ENSG00000205105	ENST00000378775	COX17P1	13	47064997	47065397
ENSG00000205105	ENST00000535895	COX17P1	13	47064997	47065397
ENSG00000230243	ENST00000423650	FKBP1AP3	13	47079253	47079571
ENSG00000234590	ENST00000420444	GNG5P5	13	47881217	47881436
ENSG00000234145	ENST00000432820	NAP1L4P3	13	48337595	48338741
ENSG00000229423	ENST00000424277	RPL27AP8	13	48340775	48341220
ENSG00000224510	ENST00000438155	POLR2KP2	13	48708494	48708670
ENSG00000238086	ENST00000474415	PPP1R26P1	13	48890999	48894611
ENSG00000238086	ENST00000599544	PPP1R26P1	13	48890999	48894611
ENSG00000177197	ENST00000452246	PCNPP5	13	48902220	48902700
ENSG00000225131	ENST00000453033	PSME2P2	13	49345264	49345965
ENSG00000225131	ENST00000419812	PSME2P2	13	49345264	49345965
ENSG00000244329	ENST00000483523	UBA52P9	18	24935370	24935728
ENSG00000223724	ENST00000451754	RAD17P2	13	49618215	49620930
ENSG00000265097	ENST00000578589	RBM22P1	18	24998848	25000399
ENSG00000235957	ENST00000446556	COX7CP1	13	49761615	49761806
ENSG00000263405	ENST00000577406	PA2G4P3	18	25032478	25033621
ENSG00000231665	ENST00000447552	OGFOD1P1	13	49784558	49786430
ENSG00000236577	ENST00000435400	SNRPGP14	13	50063106	50063500
ENSG00000266296	ENST00000584680	ARIH2P1	18	26231696	26233172
ENSG00000176882	ENST00000451812	RP11-432M24.4	13	50194450	50194784
ENSG00000176882	ENST00000316159	RP11-432M24.4	13	50194450	50194784
ENSG00000203547	ENST00000366359	AL135901.1	13	50243040	50243254
ENSG00000271238	ENST00000603176	RP11-510D21.2	18	26404616	26404790
ENSG00000181358	ENST00000318353	CTAGE10P	13	50464727	50467134
ENSG00000266479	ENST00000581934	CTD-2515C13.1	18	26836782	26837025
ENSG00000213885	ENST00000425147	RPL13AP7	21	26734135	26734745
ENSG00000214359	ENST00000425606	RPL18P10	13	50673467	50674004
ENSG00000232150	ENST00000495613	ST13P4	13	50746225	50747317
ENSG00000237731	ENST00000420965	RNGTTP1	21	27015801	27016528
ENSG00000223676	ENST00000445636	RPL34P26	13	50935546	50935899
ENSG00000227054	ENST00000450769	FDX1P2	21	27064492	27064866
ENSG00000235514	ENST00000436405	AP000226.9	21	27135249	27135644
ENSG00000265158	ENST00000583900	LRRC37A7P	18	29304161	29306919
ENSG00000265158	ENST00000585232	LRRC37A7P	18	29304161	29306919
ENSG00000263772	ENST00000584628	RP11-549B18.3	18	29306006	29306360
ENSG00000270518	ENST00000604384	RP11-210K20.3	18	29462583	29462865
ENSG00000270879	ENST00000605421	RP11-210K20.4	18	29464821	29465106
ENSG00000265273	ENST00000581802	PGDP1	18	29542141	29543581
ENSG00000266105	ENST00000582538	RP11-326K13.2	18	29546923	29547508
ENSG00000214917	ENST00000484967	RP11-53I6.1	18	29655848	29656235
ENSG00000265279	ENST00000580789	RP11-53I6.5	18	29775989	29776929
ENSG00000215492	ENST00000521273	HNRNPA1P7	18	29991471	29993167
ENSG00000215492	ENST00000400448	HNRNPA1P7	18	29991471	29993167
ENSG00000260389	ENST00000567636	WBP11P1	18	30091626	30094597
ENSG00000260389	ENST00000562560	WBP11P1	18	30091626	30094597
ENSG00000123201	ENST00000493639	GUCY1B2	13	51568647	51654998
ENSG00000123201	ENST00000533288	GUCY1B2	13	51568647	51654998
ENSG00000123201	ENST00000485590	GUCY1B2	13	51568647	51654998
ENSG00000123201	ENST00000531898	GUCY1B2	13	51568647	51654998
ENSG00000123201	ENST00000389600	GUCY1B2	13	51568647	51654998
ENSG00000123201	ENST00000532104	GUCY1B2	13	51568647	51654998
ENSG00000123201	ENST00000537462	GUCY1B2	13	51568647	51654998
ENSG00000215326	ENST00000429271	GPX1P2	21	28515663	28516268
ENSG00000214878	ENST00000399168	RPL5P31	13	51735859	51736493
ENSG00000271242	ENST00000605362	SLMO2P2	13	51770017	51770217
ENSG00000224892	ENST00000596904	RPS4XP16	13	52028300	52035451
ENSG00000224892	ENST00000595905	RPS4XP16	13	52028300	52035451
ENSG00000224892	ENST00000427198	RPS4XP16	13	52028300	52035451
ENSG00000229906	ENST00000411777	SNRPGP11	13	52070156	52070387
ENSG00000224451	ENST00000433775	ATP5F1P1	13	52172552	52173596
ENSG00000232872	ENST00000454280	CTAGE3P	13	52482354	52484757
ENSG00000236044	ENST00000439042	FABP5P2	13	52540878	52541285
ENSG00000261138	ENST00000566886	AC016489.1	HG183_PATCH	62385676	62386050
ENSG00000261387	ENST00000566865	AC138744.2	HG183_PATCH	62568883	62569149
ENSG00000243406	ENST00000416599	MRPS31P5	13	52741844	52768600
ENSG00000243406	ENST00000607588	MRPS31P5	13	52741844	52768600
ENSG00000243406	ENST00000606974	MRPS31P5	13	52741844	52768600
ENSG00000243406	ENST00000423686	MRPS31P5	13	52741844	52768600
ENSG00000243406	ENST00000606619	MRPS31P5	13	52741844	52768600
ENSG00000272281	ENST00000605924	TPTE2P2	13	52793479	52908412
ENSG00000272281	ENST00000606973	TPTE2P2	13	52793479	52908412
ENSG00000272281	ENST00000403471	TPTE2P2	13	52793479	52908412
ENSG00000272281	ENST00000608790	TPTE2P2	13	52793479	52908412
ENSG00000272281	ENST00000606043	TPTE2P2	13	52793479	52908412
ENSG00000272281	ENST00000605936	TPTE2P2	13	52793479	52908412
ENSG00000272281	ENST00000606711	TPTE2P2	13	52793479	52908412
ENSG00000233300	ENST00000420241	EIF4A1P1	21	28739333	28740266
ENSG00000271236	ENST00000604285	SUMO2P15	15	41052795	41053072
ENSG00000217026	ENST00000447844	RPL10P1	21	28792699	28793342
ENSG00000219592	ENST00000406229	NCSTNP1	21	28864437	28864580
ENSG00000259405	ENST00000560114	ISCA1P4	15	41240934	41241067
ENSG00000259547	ENST00000558168	CYCSP2	15	41401076	41401376
ENSG00000157021	ENST00000528023	FAM92A1P1	15	41455360	41456572
ENSG00000243355	ENST00000485809	RP11-57G22.1	18	30359002	30359249
ENSG00000267585	ENST00000586960	RP11-115P21.1	18	32153951	32154487
ENSG00000257267	ENST00000399070	ZNF271	18	32870246	32890730
ENSG00000257267	ENST00000465539	ZNF271	18	32870246	32890730
ENSG00000257267	ENST00000540308	ZNF271	18	32870246	32890730
ENSG00000239683	ENST00000474156	RP11-322E11.1	18	32963318	32963989
ENSG00000267797	ENST00000587407	NRBF2P1	18	33421723	33422581
ENSG00000267404	ENST00000589678	RP11-49I11.2	18	33853537	33854562
ENSG00000267456	ENST00000593113	RP11-49I11.3	18	33858698	33859082
ENSG00000243516	ENST00000467028	RP11-19F9.1	18	35252652	35253139
ENSG00000175886	ENST00000588490	RPL7AP66	18	36914836	36915639
ENSG00000175886	ENST00000321566	RPL7AP66	18	36914836	36915639
ENSG00000259838	ENST00000566760	TCEB1P2	15	41849225	41849633
ENSG00000198384	ENST00000441562	TPTE2P3	13	53063128	53161222
ENSG00000198384	ENST00000427445	TPTE2P3	13	53063128	53161222
ENSG00000267664	ENST00000586289	RPL17P45	18	37723890	37724468
ENSG00000270702	ENST00000605661	RP11-107F6.4	15	42010568	42010870
ENSG00000267652	ENST00000588959	RP11-188I24.1	18	39369127	39369360
ENSG00000225253	ENST00000457751	AC011225.1	18	39399018	39399386
ENSG00000267088	ENST00000591187	RP11-115N12.1	18	39669276	39669716
ENSG00000259562	ENST00000560331	RP11-762H8.2	15	78582869	78583563
ENSG00000259413	ENST00000558606	RP11-5O23.1	15	78674915	78675497
ENSG00000250299	ENST00000509685	MRPS31P4	13	53191693	53211581
ENSG00000261303	ENST00000569846	RP11-160C18.2	15	78952986	79027837
ENSG00000261303	ENST00000565476	RP11-160C18.2	15	78952986	79027837
ENSG00000261303	ENST00000564933	RP11-160C18.2	15	78952986	79027837
ENSG00000261303	ENST00000568337	RP11-160C18.2	15	78952986	79027837
ENSG00000261303	ENST00000570227	RP11-160C18.2	15	78952986	79027837
ENSG00000150276	ENST00000377951	PPIAP26	13	53394632	53395153
ENSG00000225510	ENST00000428983	PCDH8P1	13	53774116	53776547
ENSG00000213307	ENST00000494933	RPL18P11	15	78953389	78953918
ENSG00000238166	ENST00000434914	RP11-160C18.4	15	79044449	79045715
ENSG00000238166	ENST00000566323	RP11-160C18.4	15	79044449	79045715
ENSG00000243711	ENST00000482506	RPL21P116	15	79155589	79156071
ENSG00000271652	ENST00000605764	RP11-168P6.2	13	54690611	54690986
ENSG00000136149	ENST00000484130	RPL13AP25	13	55014839	55015450
ENSG00000260571	ENST00000562290	RP11-546B15.2	15	42605885	42606584
ENSG00000228611	ENST00000430567	HNF4GP1	13	56573334	56574582
ENSG00000228319	ENST00000431223	SPATA2P1	13	56788507	56791076
ENSG00000271140	ENST00000603320	PRR20FP	13	57747587	57747766
ENSG00000230009	ENST00000442543	MTCO2P3	13	57778513	57778933
ENSG00000215005	ENST00000447985	HSPD1P7	21	30259602	30261594
ENSG00000234421	ENST00000418448	SLC25A5P4	13	57888873	57890043
ENSG00000215317	ENST00000400014	THUMPD1P1	21	30274101	30276019
ENSG00000176054	ENST00000320371	RPL23P2	21	30369934	30370354
ENSG00000259419	ENST00000560385	HNRNPCP3	15	79528674	79529548
ENSG00000225352	ENST00000457065	RPL31P53	13	57965305	57965652
ENSG00000232687	ENST00000412942	RPL12P9	21	30500022	30500509
ENSG00000214335	ENST00000435601	CTAGE16P	13	59102749	59105160
ENSG00000259493	ENST00000560593	RP11-621H8.2	15	79851598	79852646
ENSG00000223717	ENST00000425106	DNAJA1P1	13	59325181	59326367
ENSG00000259208	ENST00000560719	RP11-621H8.1	15	79960684	79961158
ENSG00000214281	ENST00000398005	HMGN2P39	13	59584466	59584738
ENSG00000232647	ENST00000449146	POLR3KP1	13	59645596	59645937
ENSG00000260674	ENST00000561747	RP11-591L14.2	15	80035653	80035810
ENSG00000271190	ENST00000603596	RPP40P2	13	59836814	59837525
ENSG00000213527	ENST00000493002	RP11-591L14.1	15	80044031	80044391
ENSG00000238213	ENST00000448913	TARDBPP2	13	60848910	60850140
ENSG00000236608	ENST00000448133	EIF4A1P6	13	61211022	61212231
ENSG00000229207	ENST00000419794	SERPINH1P1	9	34318405	34319653
ENSG00000232983	ENST00000441226	RP11-296L22.7	9	34546522	34546994
ENSG00000236056	ENST00000450472	GAPDHP14	21	30594642	30595578
ENSG00000234033	ENST00000427086	RAC1P8	13	62379283	62379809
ENSG00000270856	ENST00000605514	RP11-429G17.2	13	62501223	62501405
ENSG00000226094	ENST00000441388	RPL7P3	20	61169878	61170591
ENSG00000267716	ENST00000589621	AC083760.1	18	41619436	41620105
ENSG00000257198	ENST00000399773	FAM205B	9	34832292	34838583
ENSG00000257198	ENST00000455647	FAM205B	9	34832292	34838583
ENSG00000257198	ENST00000378786	FAM205B	9	34832292	34838583
ENSG00000232105	ENST00000443577	RPL32P28	13	62902121	62902517
ENSG00000267573	ENST00000592443	KRT8P5	18	41900765	41902222
ENSG00000271465	ENST00000603451	SQSTM1P1	13	62980191	62981049
ENSG00000187791	ENST00000340783	FAM205CP	9	34889061	34895775
ENSG00000187791	ENST00000603640	FAM205CP	9	34889061	34895775
ENSG00000187791	ENST00000603592	FAM205CP	9	34889061	34895775
ENSG00000187791	ENST00000604781	FAM205CP	9	34889061	34895775
ENSG00000215430	ENST00000400303	OR7E156P	13	64316498	64316945
ENSG00000178723	ENST00000324731	GLULP4	9	34917172	34918293
ENSG00000213232	ENST00000393023	PPP1R2P10	13	64385147	64385741
ENSG00000215199	ENST00000399764	YWHAZP6	9	34922181	34922918
ENSG00000233838	ENST00000486648	DPH3P1	20	61476490	61477543
ENSG00000233838	ENST00000502378	DPH3P1	20	61476490	61477543
ENSG00000233148	ENST00000417620	SYF2P2	9	35010700	35011282
ENSG00000236527	ENST00000430209	ARF4P2	20	61503602	61504428
ENSG00000215198	ENST00000439134	RP11-182N22.7	9	35147407	35149181
ENSG00000215432	ENST00000400311	OR7E104P	13	64411166	64411589
ENSG00000259229	ENST00000560455	RP11-38G5.3	15	80050891	80051104
ENSG00000237849	ENST00000431953	NFYAP1	13	64549584	64550555
ENSG00000267558	ENST00000587507	RP11-618K16.4	18	43368495	43368632
ENSG00000214269	ENST00000441282	LGMNP1	13	65532229	65533528
